id,question,answer
1,Cos’è SPID?,"Il Sistema Pubblico di Identità Digitale (SPID) è un’identità digitale composta da una coppia di credenziali (username e password), strettamente personali, con le quali è possibile accedere ai servizi online della pubblica amministrazione e dei privati aderenti.  Semplice, sicuro e veloce, puoi utilizzare SPID da qualsiasi dispositivo: computer, tablet e smartphone ogni volta che, su un sito o un’app di servizi, trovi il pulsante “Entra con SPID”."
2,Come si compone l’ecosistema SPID?,"Il Sistema Pubblico di Identità Digitale si compone di diversi attori: i gestori dell’identità digitale (identity provider o IdP), soggetti privati accreditati da AgID per la creazione e la gestione delle identità digitali degli utenti; i fornitori di servizi (service provider o SP), organizzazioni pubbliche o private che, abilitando l’accesso ai propri servizi online tramite l’identità digitale, consentono una fruizione veloce, sicura e protetta ai servizi; gli utenti (cittadini e imprese) che dispongono della propria identità digitale, certificata da uno o più gestori, per accedere ai servizi online della Pubblica Amministrazione e dei privati aderenti."
3,Quali documenti servono per ottenere SPID?,"Per ottenere SPID hai bisogno di un documento di riconoscimento italiano (carta di identità, passaporto, patente) in corso di validità, della tessera sanitaria o del tesserino del codice fiscale (oppure dei rispettivi certificati di attribuzione), di un indirizzo e-mail e di un cellulare ad uso personale. Non è necessario che l’indirizzo e-mail e il numero di cellulare siano intestati alla  persona che richiede SPID ma devono rappresentare, anche per le verifiche di sicurezza, strumenti di utilizzo strettamente  personale. Pertanto, per ogni identità SPID intestata a persona diversa bisogna utilizzare un numero di telefono e indirizzo e-mail differente. Inoltre, ti sconsigliamo di utilizzare indirizzi e-mail e numeri di telefono di lavoro, in quanto la perdita di accesso a tali strumenti (ad esempio con il termine di un rapporto di lavoro) può comportare problemi nell’utilizzo di SPID."
4,Cosa succede quando scade il documento o la tessera sanitaria con cui ho richiesto SPID?,"Se il tuo documento d’identità è scaduto, contatta il tuo gestore d’identità per conoscere la procedura idonea per aggiornare i tuoi dati.  Inoltre ti ricordiamo che, a seguito della legge n.159 del 27 novembre 2020, la validità dei documenti di riconoscimento e identità scaduti dal 31 gennaio 2020 è stata ulteriormente prorogata fino al 30 settembre 2021. Per qualsiasi problematica puoi contattare direttamente i vari Identity Provider tramite i servizi di assistenza presenti sul sito alla pagina Ottieni assistenza dagli Identity Provider."
5,A chi mi devo rivolgere per ottenere SPID?,"Per ottenere le tue credenziali SPID puoi rivolgerti a uno dei gestori di identità (detti identity provider) accreditati dall’Agenzia per l’Italia Digitale (AgID). Al momento i gestori d’identità sono 9: Aruba PEC SpA, In.Te.S.A. SpA, InfoCert SpA, Lepida ScpA, Namirial SpA, Poste Italiane SpA, Register SpA, Sielte SpA e TI Trust Technologies Srl.  Ogni gestore offre diverse modalità per richiedere e ottenere SPID: scegli quella più adatta alle tue esigenze. Per tutte le informazioni su dove e come chiedere le tue credenziali SPID vai alla pagina Come attivare SPID."
6,SPID è gratuito?,"L’utilizzo di SPID per il cittadino è gratuito, ma puoi attivarlo scegliendo tra modalità gratuite o a pagamento, descritte alla pagina Come scegliere tra i gestori di identità digitale. Una volta ottenuto, nessun costo o canone ti verrà richiesto."
7,Quanto tempo ci vuole per ottenere SPID?,I tempi di emissione delle credenziali cambiano in base al gestore di identità e alle modalità di riconoscimento scelte. Puoi consultare le tempistiche previste da ogni gestore di servizi per ognuna delle diverse modalità di riconoscimento sul sito spid.gov.it.
8,Quali sono nome utente (username) e password SPID?,"Puoi scegliere il nome utente (username) liberamente e può coincidere con la tua mail. Puoi scegliere liberamente anche la password, nel rispetto dei requisiti di sicurezza previsti."
9,Come vengono trattati i miei dati personali?,I tuoi dati personali comunicati ai gestori di identità non verranno utilizzati a scopo commerciale. Gli Identity Provider non possono utilizzare i tuoi dati personali né cederli a terze parti senza la tua autorizzazione. Al momento della registrazione i dati necessari all’ottenimento dell’identità digitale SPID saranno esplicitamente distinti dalle informazioni - non obbligatorie - che il gestore di identità potrà eventualmente richiederti. La tua privacy è garantita e il rispetto delle regole di trattamento dei dati è vigilato da AgID e dal Garante per la protezione dei dati personali.
10,Quali sono le differenze tra i tre livelli di sicurezza?,"Il primo livello permette di accedere ai servizi online attraverso le credenziali SPID (nome utente e password). Il secondo livello – necessario per servizi che richiedono un grado di sicurezza maggiore – permette l’accesso attraverso le credenziali SPID e la generazione di un codice temporaneo di accesso OTP (one time password) o l'uso di un'app fruibile attraverso un dispositivo, come ad esempio uno smartphone. Il terzo livello prevede, oltre alle credenziali SPID, l’utilizzo di ulteriori soluzioni di sicurezza e di eventuali dispositivi fisici (es. smart card) che vengono erogati dal gestore dell’identità."
